"case","status","nrow","ncol","digest"
"counts_hex_duckdb","ok",550,10,"a3365173bc7357b8b049e520e9e6f7ed6421da309eff09012b142245f1e13156"
"counts_hex_r","ok",550,10,"a3365173bc7357b8b049e520e9e6f7ed6421da309eff09012b142245f1e13156"
"counts_user_duckdb","ok",19,23,"4acc173d164c2c7d1c2507cde6743cd52ce29e2f1f69631f2207d7cbc5b96005"
"counts_user_r","ok",19,23,"4acc173d164c2c7d1c2507cde6743cd52ce29e2f1f69631f2207d7cbc5b96005"
"lumi_hex_duckdb","ok",550,9,"58011cfd3223416869f4fe704e9c6ca0c302859de4281d234f62897550eca4f3"
"lumi_hex_r","ok",550,9,"58011cfd3223416869f4fe704e9c6ca0c302859de4281d234f62897550eca4f3"
"lumi_user_duckdb","ok",19,22,"0d64114a06cf61644163bb309439323583870adcd6227437cb7290d3015a5064"
"lumi_user_r","ok",19,22,"b4662f5b63410012e7286352c3589bf7077ee273ad900c62688fe750fb94a7ae"
"tracts_h3","ok",550,8,"44b4f02fcdea91317b58b592727d4f815c7d0e76b8e2391a9662fbf01f436038"
"tracts_polygon","ok",19,21,"2811e596d298c8900830b730f274c3aed1b0163ccabff6f5a1c26e03648d9b4e"
