"block","fn","muni","code_muni","n_addresses","backend","h3_res","constrained","rep","elapsed_s","peak_rss_mb","own_cpu_s","other_cpu_s","n_rows","timestamp"
"cities","cnefe_counts","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,1,3.79,468,3.55,1.41,4064,"2026-09-18 18:22:56"
"cities","cnefe_counts","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,1,4.69,718.8,4.27,1.55,4064,"2026-09-18 18:23:02"
"cities","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,1,3.55,443.5,4.11,1.66,697,"2026-09-18 18:23:08"
"cities","cnefe_counts","Curitiba-PR",4106902,"~900k","r",8,FALSE,1,9.59,1760.4,10.19,5.33,697,"2026-09-18 18:23:13"
"cities","cnefe_counts","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,1,5.77,719.7,12.36,4.38,2270,"2026-09-18 18:23:24"
"cities","cnefe_counts","Sao Paulo-SP",3550308,"~5.7M","r",8,FALSE,1,101.04,9257.4,110.31,42.05,2270,"2026-09-18 18:23:32"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",7,FALSE,1,4.4,445.7,4.06,2.03,117,"2026-09-18 18:25:15"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",7,FALSE,1,9.64,1764.4,9.39,3.75,117,"2026-09-18 18:25:21"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",9,FALSE,1,4.31,473.7,4.73,1.88,4529,"2026-09-18 18:25:32"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",9,FALSE,1,10.09,1794.4,10.12,3.84,4529,"2026-09-18 18:25:38"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","duckdb",11,FALSE,1,36.33,1721.2,38.06,11.7,212914,"2026-09-18 18:25:49"
"h3res","cnefe_counts","Curitiba-PR",4106902,"~900k","r",11,FALSE,1,42.32,2755.2,43.5,11.69,212914,"2026-09-18 18:26:27"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","duckdb",8,FALSE,1,4.5,390.8,3.34,2.47,4064,"2026-09-18 18:27:11"
"lumi","compute_lumi","Vitoria da Conquista-BA",2933307,"~200k","r",8,FALSE,1,4.45,598,4.27,1.59,4064,"2026-09-18 18:27:17"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","duckdb",8,FALSE,1,3.48,360.5,4.02,1.2,697,"2026-09-18 18:27:23"
"lumi","compute_lumi","Curitiba-PR",4106902,"~900k","r",8,FALSE,1,9.27,1639.8,9.34,3.34,697,"2026-09-18 18:27:28"
"lumi","compute_lumi","Sao Paulo-SP",3550308,"~5.7M","duckdb",8,FALSE,1,5.92,569,12.83,2.67,2270,"2026-09-18 18:27:39"
"lumi","compute_lumi","Sao Paulo-SP",3550308,"~5.7M","r",8,FALSE,1,99.48,8598.9,106.25,46.37,2270,"2026-09-18 18:27:47"
"tracts","tracts_to_h3","Vitoria da Conquista-BA",2933307,"~200k",NA,9,FALSE,1,9.92,678.2,10.42,3.81,27586,"2026-09-18 18:29:28"
"tracts","tracts_to_h3","Curitiba-PR",4106902,"~900k",NA,9,FALSE,1,7.28,626,12.75,3.03,4529,"2026-09-18 18:29:39"
"tracts","tracts_to_h3","Sao Paulo-SP",3550308,"~5.7M",NA,9,FALSE,1,16.76,1995.7,104.53,5.97,14938,"2026-09-18 18:29:48"
