"variable","both_present","exact","pub_na","new_na","pct"
"code_type",1446,1446,53,0,100
"n_inhab",1365,1365,134,0,100
"male",1365,1365,134,134,100
"female",1365,1365,134,134,100
"age_0_4",1341,1341,158,158,100
"age_5_9",1338,1338,161,161,100
"age_10_14",1333,1333,166,166,100
"age_15_19",1329,1329,170,170,100
"age_20_24",1327,1327,172,172,100
"age_25_29",1320,1320,179,179,100
"age_30_39",1344,1344,155,155,100
"age_40_49",1326,1326,173,173,100
"age_50_59",1302,1302,197,197,100
"age_60_69",1287,1287,212,212,100
"age_70m",1240,1240,259,259,100
"race_branca",1335,1335,164,164,100
"race_preta",1345,1345,154,154,100
"race_amarela",1134,1134,365,365,100
"race_parda",1354,1354,145,145,100
"race_indigena",1089,1089,410,410,100
"n_resp",1365,1365,134,134,100
"avg_inc_resp",1365,1365,134,134,100
"pop_ph",1365,1365,134,134,100
"pop_ch",1345,1345,154,154,100
