"asset","size_bytes","sha256","release_tag","edition"
"sc_11.parquet",6523018,"ba2142e24ed6d0552e3b8673497422ac8a7a0072fa0230c83bb6a269ed5a3ead","sc-assets-v2",2022
"sc_12.parquet",14439713,"4c6b62f067e3ea630bd6f8cf1ea0cdd32170d0ae50a4f14391b64ad41a56a17b","sc-assets-v2",2022
"sc_13.parquet",95857001,"e4895a514307816272bed2519a6262263f1967117ca19990ff823d5a7ecf88f0","sc-assets-v2",2022
"sc_14.parquet",6174261,"374ecb954e15ea1dda0b3174ec7552b8d3892a9521457d5a1ad0c171a47f94d3","sc-assets-v2",2022
"sc_15.parquet",36197991,"a13971ff8f7998bbe4536aaeac2be7ecb92d501d8d395d92045f40f8c8ad3b27","sc-assets-v2",2022
"sc_16.parquet",4142955,"e9255962ff66a1d637f72549ca864e49cdecdef75280ac7cd397b37775656865","sc-assets-v2",2022
"sc_17.parquet",72686600,"ba631b6f9fb323ecc8cdd0ee3dc66e224bd5bbbd6e35224747408a451e83141b","sc-assets-v2",2022
"sc_21.parquet",43345859,"71a692eec2d8369ff5458dd2ca308e96d27f53c8df72aaa0b247e0357876893e","sc-assets-v2",2022
"sc_22.parquet",32345372,"ebf846063b14ca9cd13270edec7d2a47601acc74b5ecda331d16d5ea40a03530","sc-assets-v2",2022
"sc_23.parquet",25033849,"fb2ad15f510e00e1ca30a437f18d7ddb8d378a6be8b1e775f83a75b865addbdd","sc-assets-v2",2022
"sc_24.parquet",3575362,"14521635553ded6b21e3908cb15efd81c3a700feb7181bb29f121c20f52c233b","sc-assets-v2",2022
"sc_25.parquet",18785065,"b8ae046e18cee98744d346f6064829cce832ff74a324f2194216b420873373aa","sc-assets-v2",2022
"sc_26.parquet",33053156,"f638110d8bea375b37356a6468ba1e46c95d0f17bcdf980fc50b373ac0ae5b83","sc-assets-v2",2022
"sc_27.parquet",21215050,"7f4e38f6c4e17b8e18fff76cac624b197daf02000d7e3f8541de72b366e98690","sc-assets-v2",2022
"sc_28.parquet",7990707,"beb159ea923c20f1e947952dea834cddd77d25b7021a2dde76c17c8ed8f2d842","sc-assets-v2",2022
"sc_29.parquet",97825681,"4ef41d587c2634217011cee8ce414fb827d9907f6f63e71ac03c507f1d042252","sc-assets-v2",2022
"sc_31.parquet",152791521,"ed2f9f6aec2cd92923cb122ce3f7ee1e459e16c1fa7884a4c74450a5b69c0612","sc-assets-v2",2022
"sc_32.parquet",20995902,"6a86f52d4fbd3886d47378f25e57d8c325d6ef2a8c74ac853b2ea34ec1bbc0cb","sc-assets-v2",2022
