"uf","pub_rows","new_rows","matched","values","exact"
"11",3456,3456,3456,21902,21902
"12",2215,2215,2215,13875,13875
"13",10729,10729,10729,59552,59552
"14",1783,1783,1783,9526,9526
"15",16714,16714,16714,108763,108763
"16",1492,1492,1492,9493,9493
"17",4117,4117,4117,27226,27226
"21",16301,16301,16301,109051,109051
"22",7340,7340,7340,50409,50409
"23",20979,20979,20979,140568,140568
"24",6095,6095,6095,41620,41620
"25",9639,9639,9639,66246,66246
"26",19578,19578,19578,134347,134347
"27",6359,6359,6359,43141,43141
"28",5346,5346,5346,36385,36385
"29",30985,30985,30985,213172,213172
"31",51387,51387,51387,351284,351284
"32",8706,8706,8706,59227,59227
"33",41700,41700,41700,278493,278493
"35",103319,103319,103319,693861,693861
"41",23777,23777,23777,161991,161991
"42",16736,16736,16736,112755,112755
"43",25567,25567,25567,173822,173822
"50",6117,6117,6117,41761,41761
"51",9381,9381,9381,61397,61397
"52",12861,12861,12861,88178,88178
"53",5418,5418,5418,36823,36823
